iter	Logloss
0	0.5934581428
1	0.5268249567
2	0.4765212041
3	0.436140651
4	0.4019406254
5	0.3772961655
6	0.3570788586
7	0.3424143357
8	0.3309005605
9	0.321991721
10	0.3152001789
11	0.307790924
12	0.3029204837
13	0.2981822003
14	0.2931938993
15	0.2896177361
16	0.2866905059
17	0.283944161
18	0.2809093565
19	0.2787115009
20	0.2769868469
21	0.2750558356
22	0.2734916106
23	0.2723047931
24	0.2711704031
25	0.2697697976
26	0.2685308516
27	0.2675079782
28	0.266435722
29	0.2655442986
30	0.2646615504
31	0.2639717244
32	0.2634229259
33	0.2627639437
34	0.2622566416
35	0.2617130286
36	0.2612125589
37	0.2606671784
38	0.2602340765
39	0.2598206737
40	0.259508972
41	0.259191541
42	0.2588445651
43	0.2584787027
44	0.2579217419
45	0.2576843349
46	0.2574167147
47	0.2571975391
48	0.2569348773
49	0.2564404116
50	0.2562817746
51	0.2560241112
52	0.2558514043
53	0.2556159846
54	0.2554694823
55	0.2552734891
56	0.2551083677
57	0.2549258529
58	0.2546626023
59	0.254520386
60	0.25433072
61	0.2541807202
62	0.2538985558
63	0.253789773
64	0.2536013905
65	0.2534544736
66	0.2533286864
67	0.2532054933
68	0.2530997308
69	0.2530114288
70	0.2528611637
71	0.252667364
72	0.2525368889
73	0.2524424903
74	0.2522583201
75	0.2521247122
76	0.2520135209
77	0.2519152206
78	0.25184829
79	0.2517516024
80	0.2516332168
81	0.2515310089
82	0.2514024033
83	0.2513365433
84	0.2512732723
85	0.2511848556
86	0.2510979347
87	0.2509876028
88	0.2509107276
89	0.2508304543
90	0.2507480395
91	0.2506763469
92	0.2506147126
93	0.2505771934
94	0.2505232711
95	0.2503970929
96	0.2503084707
97	0.2502460992
98	0.2501711489
99	0.2500891216
100	0.2499708176
101	0.2498820725
